নং	দেশ	মহাদেশ	জাতিসংঘের অনুমান	তারিখ
— 	বিশ্ব 			১ জুলাই ২০১৯
— 	 ইউরোপীয় ইউনিয়ন 		৫১,২৪,৯৭,৮৭৭ 	১ জুলাই ২০১৯
১ 	 গণচীন 	এশিয়া 	১,৪৩,৩৭,৮৩,৬৮৬ 	১ জুলাই ২০১৯
২ 	 ভারত 	এশিয়া 	১,৩৬,৬৪,১৭,৭৫৪ 	১ জুলাই ২০১৯
৩ 	 যুক্তরাষ্ট্র 	আমেরিকা 	৩২,৯০,৬৪,৯১৭ 	১ জুলাই ২০১৯
৪ 	 ইন্দোনেশিয়া 	এশিয়া 	২৭,০৬,২৫,৫৬৮ 	১ জুলাই ২০১৯
৫ 	 পাকিস্তান 	এশিয়া 	২১,৬৫,৬৫,৩১৮ 	১ জুলাই ২০১৯
৬ 	 ব্রাজিল 	আমেরিকা 	২১,১০,৪৯,৫২৭ 	১ জুলাই ২০১৯
৭ 	 নাইজেরিয়া 	আফ্রিকা 	২০,০৯,৬৩,৫৯৯ 	১ জুলাই ২০১৯
৮ 	 বাংলাদেশ 	এশিয়া 	১৮৬,৮৯৩,৮৩০ 	১ জুলাই ২০১৯
৯ 	 রাশিয়া 	ইউরোপ-এশিয়া 	১৪,৫৮,৭২,২৫৬ 	১ জুলাই ২০১৯
১০ 	 মেক্সিকো 	আমেরিকা 	১২,৭৫,৭৫,৫২৯ 	১ জুলাই ২০১৯
১১ 	 জাপান 	এশিয়া 	১২,৬৮,৬০,৩০১ 	১ জুলাই ২০১৯
১২ 	 ইথিওপিয়া 	আফ্রিকা 	১১,২০,৭৮,৭৩০ 	১ জুলাই ২০১৯
১৩ 	 ফিলিপাইন 	এশিয়া 	১০,৮১,১৬,৬১৫ 	১ জুলাই ২০১৯
১৪ 	 মিশর 	আফ্রিকা 	১০,০৩,৮৮,০৭৩ 	১ জুলাই ২০১৯
১৫ 	 ভিয়েতনাম 	এশিয়া 	৯,৬৪,৬২,১০৬ 	১ জুলাই ২০১৯
১৬ 	 গণতান্ত্রিক কঙ্গো প্রজাতন্ত্র 	আফ্রিকা 	৮,৬৭,৯০,৫৬৭ 	১ জুলাই ২০১৯
১৭ 	 জার্মানি 	ইউরোপ 	৮,৩৫,১৭,০৪৫ 	১ জুলাই ২০১৯
১৮ 	 তুরস্ক 	ইউরোপ 	৮,৩৪,২৯,৬১৫ 	১ জুলাই ২০১৯
১৯ 	 ইরান 	এশিয়া 	৮,২৯,১৩,৯০৬ 	১ জুলাই ২০১৯
২০ 	 থাইল্যান্ড 	এশিয়া 	৬,৯০,৩৭,৫১৩ 	১ জুলাই ২০১৯
২১ 	 যুক্তরাজ্য 	ইউরোপ 	৬,৭৫,৩০,১৭২ 	১ জুলাই ২০১৯
২২ 	 ফ্রান্স[১] 	ইউরোপ 	৬,৫১,২৯,৭২৮ 	১ জুলাই ২০১৯
২৩ 	 ইতালি 	ইউরোপ 	৬,০৫,৫০,০৭৫ 	১ জুলাই ২০১৯
২৪ 	 দক্ষিণ আফ্রিকা 	আফ্রিকা 	৫,৮৫,৫৮,২৭০ 	১ জুলাই ২০১৯
২৫ 	 তানজানিয়া 	আফ্রিকা 	৫,৮০,০৫,৪৬৩ 	১ জুলাই ২০১৯
২৬ 	 মিয়ানমার 	এশিয়া 	৫,৪০,৪৫,৪২০ 	১ জুলাই ২০১৯
২৭ 	 কেনিয়া 	আফ্রিকা 	৫,২৫,৭৩,৯৭৩ 	১ জুলাই ২০১৯
২৮ 	 দক্ষিণ কোরিয়া 	এশিয়া 	৫,১২,২৫,৩০৮ 	১ জুলাই ২০১৯
২৯ 	 কলম্বিয়া 	আমেরিকা 	৫,০৩,৩৯,৪৪৩ 	১ জুলাই ২০১৯
৩০ 	 স্পেন[২] 	ইউরোপ 	৪,৬৭,৩৬,৭৭৬ 	১ জুলাই ২০১৯
৩১ 	 আর্জেন্টিনা 	আমেরিকা 	৪,৪৭,৮০,৬৭৭ 	১ জুলাই ২০১৯
৩২ 	 উগান্ডা 	আফ্রিকা 	৪,৪২,৬৯,৫৯৪ 	১ জুলাই ২০১৯
৩৩ 	 ইউক্রেন[৩] 	ইউরোপ 	৪,৩৯,৯৩,৬৩৮ 	১ জুলাই ২০১৯
৩৪ 	 আলজেরিয়া 	আফ্রিকা 	৪,৩০,৫৩,০৫৪ 	১ জুলাই ২০১৯
৩৫ 	 সুদান 	আফ্রিকা 	৪,২৮,১৩,২৩৮ 	১ জুলাই ২০১৯
৩৬ 	 ইরাক 	এশিয়া 	৩,৯৩,০৯,৭৮৩ 	১ জুলাই ২০১৯
৩৭ 	 আফগানিস্তান 	এশিয়া 	৩,৮০,৪১,৭৫৪ 	১ জুলাই ২০১৯
৩৮ 	 পোল্যান্ড 	ইউরোপ 	৩,৭৮,৮৭,৭৬৮ 	১ জুলাই ২০১৯
৩৯ 	 কানাডা 	আমেরিকা 	৩,৭৪,১১,০৪৭ 	১ জুলাই ২০১৯
৪০ 	 মরক্কো 	আফ্রিকা 	৩,৬৪,৭১,৭৬৯ 	১ জুলাই ২০১৯
৪১ 	 সৌদি আরব 	এশিয়া 	৩,৪২,৬৮,৫২৮ 	১ জুলাই ২০১৯
৪২ 	 উজবেকিস্তান 	এশিয়া 	৩,২৯,৮১,৭১৬ 	১ জুলাই ২০১৯
৪৩ 	 পেরু 	আমেরিকা 	৩,২৫,১০,৪৫৩ 	১ জুলাই ২০১৯
৪৪ 	 মালয়েশিয়া 	এশিয়া 	৩,১৯,৪৯,৭৭৭ 	১ জুলাই ২০১৯
৪৫ 	 অ্যাঙ্গোলা 	আফ্রিকা 	৩,১৮,২৫,২৯৫ 	১ জুলাই ২০১৯
৪৬ 	 মোজাম্বিক 	আফ্রিকা 	৩,০৩,৬৬,০৩৬ 	১ জুলাই ২০১৯
৪৭ 	 ইয়েমেন 	এশিয়া 	২,৯১,৬১,৯২২ 	১ জুলাই ২০১৯
৪৭ 	 ঘানা 	আফ্রিকা 	২,৮৮,৩৩,৬২৯ 	১ জুলাই ২০১৯
