سال	ولادت	وفات
"۱۳۳۸ "	"۸۶۴٬۸۴۶ "	۱۷۶٬۲۸۸
"۱۳۳۹ "	"۸۷۶٬۲۰۶ "	۱۷۱٬۰۴۰
"۱۳۴۰ "	"۹۰۲٬۲۶۰ "	۱۵۹٬۳۷۱
"۱۳۴۱ "	"۹۵۷٬۵۰۰ "	۱۶۵٬۴۸۸
"۱۳۴۲ "	"۹۲۰٬۹۶۷ "	۱۳۵٬۹۱۲
"۱۳۴۳ "	"۱٬۱۱۸٬۹۱۱ "	۱۴۵٬۱۷۴
"۱۳۴۴ "	"۱٬۱۸۸٬۳۴۶ "	۱۷۱٬۹۴۰
"۱۳۴۵ "	"۱٬۱۰۲٬۸۴۸ "	۱۷۸٬۹۹۱
"۱۳۴۶ "	"۱٬۰۱۴٬۳۲۱ "	۱۷۸٬۷۴۹
"۱۳۴۷ "	"۱٬۰۴۶٬۱۳۴ "	۱۷۳٬۳۵۲
"۱۳۴۸ "	"۱٬۱۰۷٬۹۱۰ "	۱۶۷٬۵۷۵
"۱۳۴۹ "	"۱٬۱۹۰٬۹۵۷ "	۱۶۳٬۸۹۶
"۱۳۵۰ "	"۱٬۲۳۵٬۰۲۵ "	۱۴۹٬۰۱۱
"۱۳۵۱ "	"۱٬۱۳۸٬۸۴۳ "	۱۵۳٬۹۲۰
"۱۳۵۲ "	"۱٬۱۹۹٬۷۷۷ "	۱۵۵٬۳۰۵
"۱۳۵۳ "	"۱٬۲۴۸٬۲۵۶ "	۱۴۹٬۸۷۵
"۱۳۵۴ "	"۱٬۳۳۹٬۲۶۷ "	۱۴۸٬۵۴۳
"۱۳۵۵ "	"۱٬۳۹۹٬۹۷۷ "	۱۵۶٬۰۱۰
"۱۳۵۶ "	"۱٬۴۰۶٬۲۰۴ "	۱۴۶٬۳۶۹
"۱۳۵۷ "	"۱٬۳۷۳٬۷۳۸ "	۱۲۷٬۸۸۳
"۱۳۵۸ "	"۱٬۶۸۸٬۹۴۲ "	۱۴۲٬۴۰۱
"۱۳۵۹ "	"۲٬۴۵۱٬۷۶۵ "	۱۶۲٬۱۷۵
"۱۳۶۰ "	"۲٬۴۱۹٬۹۵۱ "	۱۷۸٬۰۶۵
"۱۳۶۱ "	"۲٬۰۹۷٬۹۵۷ "	۲۰۰٬۶۱۴
"۱۳۶۲ "	"۲٬۲۰۳٬۵۶۰ "	۲۰۷٬۲۲۸
"۱۳۶۳ "	"۲٬۰۶۸٬۲۷۹ "	۱۸۶٬۴۴۰
"۱۳۶۴ "	"۲٬۰۳۱٬۹۶۹ "	۱۹۰٬۰۶۱
"۱۳۶۵ "	"۲٬۲۵۶٬۹۷۱ "	۱۹۹٬۵۱۱
"۱۳۶۶ "	"۱٬۸۳۲٬۷۲۲ "	۲۰۴٬۲۳۰
"۱۳۶۷ "	"۱٬۹۴۲٬۹۳۶ "	۲۳۸٬۳۹۰
"۱۳۶۸ "	"۱٬۷۸۹٬۸۱۷ "	۱۹۹٬۶۴۵
"۱۳۶۹ "	"۱٬۷۲۶٬۴۸۸ "	۲۱۷٬۶۱۵
"۱۳۷۰ "	"۱٬۵۹۲٬۸۹۸ "	۲۱۷٬۶۰۴
"۱۳۷۱ "	"۱٬۴۳۳٬۲۴۳ "	۱۸۸٬۶۴۷
"۱۳۷۲ "	"۱٬۳۸۸٬۰۱۷ "	۲۰۸٬۱۶۱
"۱۳۷۳ "	"۱٬۴۲۶٬۷۸۴ "	۲٬۵۳۸٬۰۷۸
"۱۳۷۴ "	"۱٬۲۰۵٬۳۷۲ "	۲٬۷۵۶٬۴۸۲
"۱۳۷۵ "	"۱٬۱۸۷٬۹۰۳ "	۱٬۲۴۰٬۹۷۵
"۱۳۷۶ "	"۱٬۱۷۹٬۲۶۰ "	۱٬۰۳۱٬۸۳۶
"۱۳۷۷ "	"۱٬۱۸۶٬۶۵۹ "	۵۵۱٬۳۴۵
"۱۳۷۸ "	"۱٬۱۷۴٬۲۷۹ "	۵۰۶٬۹۴۵
"۱۳۷۹ "	"۱٬۰۹۵٬۱۶۵ "	۳۸۲٬۶۷۴
"۱۳۸۰ "	"۱٬۱۱۰٬۸۳۶ "	۴۲۱٬۵۲۵
"۱۳۸۱ "	"۱٬۱۲۲٬۱۰۴ "	۳۳۷٬۲۳۷
"۱۳۸۲ "	"۱٬۱۷۱٬۵۷۳ "	۳۶۸٬۵۱۸
"۱۳۸۳ "	"۱٬۱۵۴٬۳۶۸ "	۳۵۵٬۲۱۳
"۱۳۸۴ "	"۱٬۲۳۹٬۴۰۸ "	۳۶۳٬۷۲۳
"۱۳۸۵ "	"۱٬۲۵۳٬۹۱۲ "	۴۰۸٬۵۶۶
"۱۳۸۶ "	"۱٬۲۸۶٬۷۱۶ "	۴۱۲٬۷۳۶
"۱۳۸۷ "	"۱٬۳۰۰٬۱۶۶ "	۴۱۷٬۷۹۸
"۱۳۸۸ "	"۱٬۳۴۸٬۵۲۶ "	۳۹۳٬۵۱۴
"۱۳۸۹ "	"۱٬۳۶۴٬۵۲۳ "	۴۴۰٬۵۳۸
"۱۳۹۰ "	"۱٬۳۸۲٬۲۲۹ "	۴۲۲٬۱۳۳
"۱۳۹۱ "	"۱٬۴۲۱٬۶۸۹ "	۳۶۷٬۵۳۹
"۱۳۹۲ "	"۱٬۴۷۱٬۷۵۸ "	۳۶۱٬۲۲۷
"۱۳۹۳ "	"۱٬۵۳۴٬۳۱۱ "	۴۳۶٬۸۴۰
"۱۳۹۴ "	"۱٬۵۷۰٬۱۸۳ "	۳۶۶٬۶۸۴
"۱۳۹۵ "	"۱٬۵۲۸٬۰۰۳ "	۳۶۹٬۱۵۲
"۱۳۹۶ "	"۱٬۴۸۷٬۸۶۱ "	۳۷۶٬۳۱۳
"۱۳۹۷ "	"۱٬۳۶۶٬۴۹۱ "	۳۷۷٬۰۲۴
"۱۳۹۸ "	"۱٬۱۹۶٬۱۳۵ "	۳۹۵٬۳۹۲
"۱۳۹۹ "	"۱٬۱۱۳٬۹۶۴ "	۵۰۷٬۵۱۱
